spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,UAIUSDT,0.36262,0.36137,-0.3447,1774080361000,,,,0.00005,,1774094400000,,,,,,,0.3616,126,0.36144,179,0.36141,1548,0.36105,1543,0.36036,10,0.36,3641,0.35981,128,0.35944,177,0.3594,4452,0.35889,182,0.36262,39,0.36274,123,0.36288,126,0.363,126,0.36315,126,0.36327,126,0.36339,126,0.36357,200,0.36358,1542,0.36367,1547,0.36110,125,0.36107,4,0.36106,139,0.36103,27,0.36102,139,0.36101,27,0.36100,43,0.36099,27,0.36098,193,0.36095,54,0.36138,151,0.36139,23,0.36141,37,0.36142,139,0.36144,23,0.36145,36,0.36150,220,0.36152,151,0.36159,274,0.36160,70
gate,bybit,UAIUSDT,0.36287,0.3615,-0.3775,1774080362000,,,,0.00005,,1774094400000,,,,,,,0.36179,126,0.36162,116,0.36161,89,0.36142,210,0.36141,3750,0.36105,1543,0.36036,10,0.36,3641,0.35981,128,0.35944,177,0.36287,39,0.36288,126,0.363,126,0.36315,126,0.36327,126,0.36339,126,0.36357,200,0.36358,1542,0.36367,1547,0.36375,3647,0.36137,32,0.36130,16,0.36125,54,0.36123,64,0.36122,54,0.36120,54,0.36119,54,0.36116,54,0.36113,27,0.36112,54,0.36149,151,0.36150,151,0.36162,46,0.36166,151,0.36167,81,0.36168,331,0.36169,291,0.36170,111,0.36171,27,0.36172,56
gate,bybit,UAIUSDT,0.36311,0.36181,-0.358,1774080363000,,,,0.00005,,1774094400000,,,,,,,0.36197,200,0.36196,2202,0.36161,89,0.36141,1548,0.36105,1543,0.36036,10,0.36001,177,0.36,3641,0.35981,128,0.3589,179,0.36312,39,0.36313,126,0.36337,126,0.36355,123,0.36357,126,0.36358,1542,0.36367,1547,0.36489,3647,0.36567,175,0.3658,10,0.36137,368,0.36130,16,0.36129,129,0.36123,64,0.36119,27,0.36116,27,0.36115,54,0.36113,54,0.36112,54,0.36111,158,0.36140,81,0.36144,81,0.36145,81,0.36146,304,0.36148,81,0.36159,54,0.36160,16,0.36162,54,0.36163,27,0.36165,83
gate,bybit,UAIUSDT,0.36303,0.36169,-0.3691,1774080364000,,,,0.00005,,1774094400000,,,,,,,0.36161,89,0.36141,1548,0.36105,1543,0.36036,10,0.36001,177,0.36,3641,0.35981,128,0.35889,182,0.3588,10,0.35828,10,0.36303,39,0.36327,126,0.36341,126,0.36355,123,0.36357,126,0.36358,1542,0.36367,1547,0.36487,65,0.36489,3647,0.3658,10,0.36165,145,0.36164,109,0.36161,63,0.36160,16,0.36155,54,0.36154,27,0.36152,27,0.36151,54,0.36150,27,0.36148,27,0.36189,245,0.36190,109,0.36192,151,0.36193,112,0.36197,136,0.36203,136,0.36204,244,0.36205,4,0.36207,54,0.36209,109
gate,bybit,UAIUSDT,0.36308,0.36165,-0.3939,1774080365000,,,,0.00005,,1774094400000,,,,,,,0.36199,210,0.36182,126,0.36162,221,0.36161,89,0.36141,1548,0.36105,1543,0.36036,10,0.36001,177,0.36,3641,0.35981,128,0.36308,39,0.36309,147,0.36311,127,0.36357,210,0.36358,1542,0.36367,1547,0.36485,65,0.36486,175,0.36489,3647,0.36538,1975,0.36164,109,0.36162,176,0.36157,259,0.36152,159,0.36151,54,0.36148,190,0.36145,162,0.36144,54,0.36142,27,0.36141,54,0.36189,63,0.36192,109,0.36193,109,0.36196,109,0.36197,109,0.36204,39,0.36205,4,0.36209,224,0.36210,16,0.36212,54
gate,bybit,UAIUSDT,0.36339,0.36194,-0.399,1774080366000,,,,0.00005,,1774094400000,,,,,,,0.36201,242,0.362,2202,0.36161,89,0.36141,1548,0.36105,1543,0.36036,10,0.36001,177,0.36,3641,0.35981,128,0.35959,4450,0.36339,189,0.3634,39,0.36341,210,0.36358,1542,0.36367,1547,0.36484,175,0.36489,3647,0.36538,1975,0.3658,10,0.36623,192,0.36194,109,0.36191,109,0.36190,109,0.36187,144,0.36180,136,0.36177,54,0.36176,190,0.36173,54,0.36170,54,0.36168,114,0.36204,2,0.36205,4,0.36210,16,0.36215,27,0.36216,54,0.36219,54,0.36220,22,0.36221,100,0.36222,110,0.36223,32
gate,bybit,UAIUSDT,0.36335,0.36191,-0.3963,1774080367000,,,,0.00005,,1774094400000,,,,,,,0.36217,123,0.36202,90,0.36201,242,0.362,2202,0.36141,1548,0.36105,1543,0.36036,10,0.36001,177,0.36,3641,0.35981,128,0.36335,231,0.36336,39,0.36337,168,0.36339,189,0.36358,1542,0.36367,1547,0.36483,66,0.36484,175,0.36489,3647,0.36538,1975,0.36191,109,0.36190,109,0.36187,144,0.36184,38,0.36177,54,0.36176,54,0.36173,54,0.36170,70,0.36168,114,0.36165,190,0.36197,32,0.36203,32,0.36204,29,0.36205,4,0.36210,16,0.36213,35,0.36215,197,0.36216,54,0.36219,190,0.36220,214
gate,bybit,UAIUSDT,0.36313,0.36195,-0.325,1774080368000,,,,0.00005,,1774094400000,,,,,,,0.36203,145,0.36202,90,0.3619,126,0.36178,126,0.36166,126,0.36153,126,0.36142,126,0.36141,1548,0.36105,1543,0.36087,3646,0.36313,39,0.36314,126,0.36331,189,0.36333,210,0.36358,1542,0.36367,1547,0.36482,175,0.36483,66,0.36489,3647,0.36538,1975,0.36195,109,0.36192,189,0.36191,160,0.36190,109,0.36187,144,0.36184,38,0.36177,54,0.36176,54,0.36173,54,0.36170,70,0.36197,2,0.36203,32,0.36204,29,0.36205,4,0.36210,16,0.36215,27,0.36216,54,0.36219,54,0.36220,78,0.36221,100
gate,bybit,UAIUSDT,0.36299,0.36181,-0.3251,1774080369000,,,,0.00005,,1774094400000,,,,,,,0.36202,90,0.36178,125,0.36166,126,0.36154,126,0.36142,136,0.36141,1548,0.36105,1543,0.36087,3646,0.36036,10,0.36001,177,0.36299,126,0.36311,39,0.36312,220,0.36331,189,0.36343,126,0.36357,157,0.36358,1542,0.36367,1547,0.3648,175,0.36487,65,0.36178,80,0.36177,169,0.36170,82,0.36163,110,0.36161,108,0.36160,43,0.36158,133,0.36157,54,0.36154,189,0.36153,135,0.36198,132,0.36204,29,0.36205,4,0.36210,244,0.36212,135,0.36213,27,0.36215,27,0.36216,54,0.36218,135,0.36219,54
gate,bybit,UAIUSDT,0.36333,0.36222,-0.3055,1774080370000,,,,0.00005,,1774094400000,,,,,,,0.36228,2318,0.36206,1542,0.36202,90,0.36141,1548,0.36087,3646,0.36036,10,0.35982,177,0.35981,128,0.35959,4450,0.35892,180,0.36334,39,0.36356,220,0.3638,126,0.36392,126,0.36404,126,0.36416,126,0.36428,126,0.3644,136,0.36441,1542,0.36443,1546,0.36229,109,0.36226,80,0.36225,160,0.36222,80,0.36221,26,0.36219,48,0.36217,31,0.36213,134,0.36212,54,0.36211,54,0.36230,16,0.36240,16,0.36245,1,0.36246,27,0.36247,54,0.36248,27,0.36250,16,0.36251,54,0.36252,54,0.36253,27
